,count,mean,std,min,25%,50%,75%,max
Unnamed: 0,20000.0,292877.90285,169665.21892055924,15.0,146233.25,294133.5,439516.25,586656.0
popularity,20000.0,27.6623,18.61429781953027,0.0,12.0,27.0,41.0,91.0
duration_ms,20000.0,230020.96225,133702.38074676378,20000.0,174601.5,214173.0,263650.0,4490003.0
explicit,20000.0,0.0458,0.20905632070629343,0.0,0.0,0.0,0.0,1.0
release_date,20000.0,1988.63325,22.93642405465435,1922.0,1974.0,1993.0,2007.0,2021.0
danceability,20000.0,0.5665798950000023,0.16503041806658977,0.0,0.457,0.579,0.688,0.984
energy,20000.0,0.5437251035399976,0.25018259405161664,0.0,0.349,0.5489999999999999,0.747,0.999
key,20000.0,5.21695,3.520014520227187,0.0,2.0,5.0,8.0,11.0
loudness,20000.0,-10.148447949999971,5.06400142957275,-60.0,-12.823250000000002,-9.205,-6.45075,5.376
mode,20000.0,0.6573,0.474624033734815,0.0,0.0,1.0,1.0,1.0
speechiness,20000.0,0.10535372500000104,0.18098189258430472,0.0,0.034,0.0442,0.076125,0.97
acousticness,20000.0,0.4474229809625023,0.34875883765094634,0.0,0.0927,0.416,0.782,0.996
instrumentalness,20000.0,0.11270994728999999,0.26635901392014727,0.0,0.0,2.32e-05,0.0090125,1.0
liveness,20000.0,0.21290342899999906,0.18275797337490726,0.0,0.0978,0.138,0.279,0.993
valence,20000.0,0.5536778015000022,0.25638524152038233,0.0,0.348,0.569,0.767,0.996
tempo,20000.0,118.33158234999966,29.775757978780053,0.0,95.3685,117.018,135.94774999999998,222.605
time_signature,20000.0,3.87645,0.4671148759302452,0.0,4.0,4.0,4.0,5.0
artist_popularity,20000.0,50.57415,20.97092727484957,0.0,38.0,52.0,66.0,100.0
